score,word_count,sentence_count,avg_sentence_length,vocab_richness,readability,topic,semantic_cluster
4,396,17,23.294117647058822,0.5732323232323232,12.096308523409366,8,2
2,200,10,20.0,0.605,6.701152849740932,8,2
3,371,31,11.96774193548387,0.5714285714285714,6.538874880445178,8,2
2,224,10,22.4,0.5982142857142857,10.755696832579186,8,2
2,219,7,31.285714285714285,0.6164383561643836,14.089656084656088,8,2
3,509,23,22.130434782608695,0.49901768172888017,12.39635398836015,8,2
1,284,18,15.777777777777779,0.6514084507042254,9.343615023474182,8,2
3,400,15,26.666666666666668,0.5775,12.3625,8,2
3,403,17,23.705882352941178,0.5459057071960298,14.151572033279816,8,2
2,244,13,18.76923076923077,0.6598360655737705,10.346913580246916,8,2
3,267,10,26.7,0.50187265917603,11.926370786516856,8,2
2,212,9,23.555555555555557,0.5943396226415094,10.016477987421386,8,2
2,354,16,22.125,0.5536723163841808,9.705416666666668,8,2
2,264,5,52.8,0.3560606060606061,22.344424242424243,8,2
2,229,11,20.818181818181817,0.6331877729257642,10.924724096863837,8,2
3,379,24,15.791666666666666,0.5593667546174143,7.1973340369393135,8,2
1,173,11,15.727272727272727,0.6705202312138728,7.595659485023649,8,2
1,159,7,22.714285714285715,0.6666666666666666,10.19521226415095,8,2
2,218,12,18.166666666666668,0.5137614678899083,5.071577981651377,8,2
3,235,21,11.19047619047619,0.6468085106382979,6.800668693009122,8,2
2,311,10,31.1,0.6237942122186495,12.986715542521996,8,2
2,181,12,15.083333333333334,0.6629834254143646,6.134488950276246,8,2
2,349,15,23.266666666666666,0.5587392550143266,11.53423255813954,8,2
4,559,24,23.291666666666668,0.4847942754919499,11.54205053667263,8,2
3,253,15,16.866666666666667,0.6205533596837944,9.923968379446642,8,2
2,184,7,26.285714285714285,0.7228260869565217,11.464782608695653,8,2
4,371,22,16.863636363636363,0.5283018867924528,7.080555555555556,8,2
2,204,7,29.142857142857142,0.5980392156862745,13.18649859943978,8,2
3,338,19,17.789473684210527,0.5769230769230769,9.329402366863906,8,2
1,207,8,25.875,0.6328502415458938,10.69062198067633,8,2
2,341,17,20.058823529411764,0.6363636363636364,11.645844402277042,8,2
3,364,22,16.545454545454547,0.6565934065934066,9.664925074925076,8,2
2,213,9,23.666666666666668,0.568075117370892,11.03530516431925,8,2
3,171,10,17.1,0.6198830409356725,9.747534516765288,8,2
3,312,11,28.363636363636363,0.5993589743589743,12.944895104895107,8,2
2,253,4,63.25,0.6758893280632411,28.619792490118574,8,2
3,450,15,30.0,0.43333333333333335,12.394000000000002,8,2
2,188,10,18.8,0.6595744680851063,9.497652406417114,8,2
2,433,31,13.96774193548387,0.4665127020785219,6.399220740520004,8,2
3,376,12,31.333333333333332,0.5398936170212766,12.383361904761909,8,2
3,466,11,42.36363636363637,0.5214592274678111,18.302633632461966,8,2
1,198,12,16.5,0.6060606060606061,8.247020202020206,8,2
1,188,11,17.09090909090909,0.6702127659574468,7.278510638297874,8,2
2,173,9,19.22222222222222,0.6358381502890174,12.164470134874762,8,2
2,284,9,31.555555555555557,0.5492957746478874,13.876525821596246,8,2
3,367,12,30.583333333333332,0.55858310626703,13.635592643051776,8,2
4,444,22,20.181818181818183,0.5045045045045045,10.937665847665851,8,2
1,290,11,26.363636363636363,0.6482758620689655,12.670640394088672,8,2
2,283,12,23.583333333333332,0.5901060070671378,11.80940391459075,8,2
3,558,17,32.8235294117647,0.47491039426523296,16.962430950874978,8,2
2,327,12,27.25,0.6330275229357798,13.98245412844037,8,2
2,280,16,17.5,0.6214285714285714,7.712857142857143,8,2
1,364,19,19.157894736842106,0.6318681318681318,11.486570247933887,8,2
2,464,16,29.0,0.47198275862068967,12.046724137931033,8,2
3,340,17,20.0,0.49411764705882355,9.10387298282145,8,2
2,338,17,19.88235294117647,0.5976331360946746,11.470034806822138,8,2
2,243,8,30.375,0.6790123456790124,9.715361570247936,8,2
3,350,23,15.217391304347826,0.6257142857142857,9.595639751552795,8,2
3,413,7,59.0,0.45036319612590797,22.991428571428575,8,2
2,209,13,16.076923076923077,0.5933014354066986,8.746985645933016,8,2
4,526,30,17.533333333333335,0.5,9.912638783269966,8,2
2,205,9,22.77777777777778,0.6682926829268293,11.252357723577237,8,2
1,186,10,18.6,0.5752688172043011,6.251774193548389,8,2
3,382,22,17.363636363636363,0.612565445026178,9.623179438362687,8,2
2,192,4,48.0,0.5572916666666666,21.81365183246074,8,2
3,277,7,39.57142857142857,0.5379061371841155,16.754770500257866,8,2
3,229,17,13.470588235294118,0.5982532751091703,7.050000000000001,8,2
2,255,9,28.333333333333332,0.5568627450980392,13.507058823529412,8,2
1,159,9,17.666666666666668,0.5786163522012578,6.662264150943397,8,2
2,163,5,32.6,0.7484662576687117,15.419723926380367,8,2
2,161,8,20.125,0.7018633540372671,10.801607142857144,8,2
2,262,14,18.714285714285715,0.5877862595419847,10.534525627044712,8,2
5,850,37,22.972972972972972,0.46705882352941175,11.66640063593005,8,2
3,347,14,24.785714285714285,0.5504322766570605,11.168802642444266,8,2
2,221,12,18.416666666666668,0.6289592760180995,9.790412844036698,8,2
3,342,16,21.375,0.4678362573099415,10.658180685358257,8,2
2,173,14,12.357142857142858,0.630057803468208,7.097491124260355,8,2
3,422,17,24.823529411764707,0.4881516587677725,10.075922832140016,8,2
2,273,12,22.75,0.5201465201465202,10.398983516483515,8,2
1,177,12,14.75,0.6271186440677966,5.818636363636365,8,2
1,178,8,22.25,0.651685393258427,11.546928838951313,8,2
2,282,17,16.58823529411765,0.624113475177305,8.34553191489362,8,2
5,610,25,24.4,0.44426229508196724,11.89135238095238,8,2
3,362,10,36.2,0.6132596685082873,14.400000000000002,8,2
3,330,19,17.36842105263158,0.5787878787878787,8.399968085106384,8,2
2,472,25,18.88,0.4978813559322034,8.8232,8,2
3,392,11,35.63636363636363,0.42091836734693877,11.702653061224492,8,2
4,476,20,23.8,0.5042016806722689,12.383596638655462,8,2
2,177,8,22.125,0.5819209039548022,9.546666666666667,8,2
3,284,20,14.2,0.5528169014084507,5.348370221327965,8,2
4,547,5,109.4,0.5484460694698354,15.457127774186599,8,2
1,241,9,26.77777777777778,0.5975103734439834,8.908162393162396,8,2
3,427,19,22.473684210526315,0.48243559718969553,9.64499445334648,8,2
5,765,28,27.321428571428573,0.4222222222222222,11.014167108284756,8,2
1,165,6,27.5,0.6545454545454545,12.441666666666666,8,2
3,377,20,18.85,0.583554376657825,10.259643236074275,8,2
1,265,19,13.947368421052632,0.630188679245283,8.748963439132183,8,2
4,601,23,26.130434782608695,0.47920133111480867,13.096044274036029,8,2
3,415,12,34.583333333333336,0.43373493975903615,15.043042168674699,8,2
2,195,14,13.928571428571429,0.6615384615384615,7.330347985347988,8,2
3,382,27,14.148148148148149,0.5078534031413613,6.546625945317047,8,2
2,222,11,20.181818181818183,0.6486486486486487,9.715143325143327,8,2
2,164,14,11.714285714285714,0.6341463414634146,5.9590592334494765,8,2
4,476,19,25.05263157894737,0.4642857142857143,11.751305732484074,8,2
4,337,20,16.85,0.599406528189911,9.18921513353116,8,2
2,201,9,22.333333333333332,0.5870646766169154,10.095766169154228,8,2
2,161,3,53.666666666666664,0.6832298136645962,24.46919254658385,8,2
4,377,15,25.133333333333333,0.5676392572944297,11.52075331564987,8,2
2,411,13,31.615384615384617,0.46958637469586373,13.420778588807789,8,2
3,456,22,20.727272727272727,0.543859649122807,10.607671451355667,8,2
2,195,11,17.727272727272727,0.5538461538461539,10.569625117150892,8,2
3,540,22,24.545454545454547,0.5037037037037037,11.041066790352506,8,2
3,326,12,27.166666666666668,0.5674846625766872,13.392730061349699,8,2
1,243,10,24.3,0.5967078189300411,11.902637860082308,8,2
3,337,25,13.48,0.6409495548961425,8.435152522255198,8,2
2,302,5,60.4,0.48344370860927155,8.792000000000002,8,2
3,426,24,17.75,0.5046948356807511,8.252800000000004,8,2
3,259,6,43.166666666666664,0.6525096525096525,19.840465116279066,8,2
3,206,13,15.846153846153847,0.6941747572815534,8.9773786407767,8,2
3,527,25,21.08,0.5692599620493358,12.776627705627707,8,2
3,269,15,17.933333333333334,0.45353159851301117,9.785462360594796,8,2
3,296,13,22.76923076923077,0.5844594594594594,11.548108108108114,8,2
2,231,8,28.875,0.5367965367965368,10.537536231884058,8,2
4,668,22,30.363636363636363,0.3937125748502994,14.040881316098709,8,2
2,540,29,18.620689655172413,0.40370370370370373,9.000587484035762,8,2
4,373,20,18.65,0.5924932975871313,9.93711930294906,8,2
2,274,5,54.8,0.551094890510949,20.854992700729927,8,2
1,240,10,24.0,0.5333333333333333,9.884223628691988,8,2
3,375,13,28.846153846153847,0.5306666666666666,13.721866666666667,8,2
3,433,19,22.789473684210527,0.4896073903002309,11.309627185747278,8,2
4,324,14,23.142857142857142,0.5185185185185185,10.44373897707231,8,2
4,413,15,27.533333333333335,0.4939467312348668,12.909444717444721,8,2
4,415,29,14.310344827586206,0.5662650602409639,8.04674268502582,8,2
2,286,15,19.066666666666666,0.5559440559440559,8.720825174825176,8,2
4,751,31,24.225806451612904,0.47536617842876167,12.33582749881878,8,2
2,255,26,9.807692307692308,0.48627450980392156,6.189509803921567,8,2
1,235,13,18.076923076923077,0.6680851063829787,10.540851063829788,8,2
3,426,22,19.363636363636363,0.4765258215962441,10.19751196172249,8,2
4,485,13,37.30769230769231,0.51340206185567,17.840000000000007,8,2
2,185,10,18.5,0.572972972972973,8.837086956521738,8,2
4,526,25,21.04,0.45627376425855515,9.277333333333335,8,2
3,242,11,22.0,0.6363636363636364,12.13886648915938,8,2
2,257,17,15.117647058823529,0.5914396887159533,9.135284926470593,8,2
2,207,10,20.7,0.5120772946859904,10.32551207729469,8,2
5,502,21,23.904761904761905,0.5179282868525896,12.490626067159933,8,2
2,200,1,200.0,0.56,80.81698492462311,8,2
3,358,11,32.54545454545455,0.49162011173184356,12.888016759776537,8,2
4,441,24,18.375,0.4603174603174603,9.980815217391307,8,2
3,255,16,15.9375,0.615686274509804,7.932291666666664,8,2
2,362,19,19.05263157894737,0.5165745856353591,8.47309046254605,8,2
2,247,20,12.35,0.6194331983805668,8.115663265306122,8,2
4,446,29,15.379310344827585,0.6165919282511211,8.834008968609869,8,2
2,237,13,18.23076923076923,0.6075949367088608,10.190000000000001,8,2
3,254,21,12.095238095238095,0.6377952755905512,8.453127109111364,8,2
3,210,12,17.5,0.6285714285714286,8.935000000000002,8,2
2,194,8,24.25,0.6288659793814433,11.08090206185567,8,2
1,586,14,41.857142857142854,0.45051194539249145,16.82581196581197,8,2
3,292,10,29.2,0.5513698630136986,14.063753424657538,8,2
3,344,10,34.4,0.5174418604651163,13.536465116279071,8,2
1,216,12,18.0,0.5648148148148148,6.764941860465118,8,2
3,246,12,20.5,0.6504065040650406,11.256219512195127,8,2
2,193,10,19.3,0.6632124352331606,11.566853403141366,8,2
2,198,7,28.285714285714285,0.6161616161616161,12.783852813852814,8,2
4,471,19,24.789473684210527,0.43736730360934184,10.596646004733461,8,2
3,585,29,20.17241379310345,0.46324786324786327,9.119976422045386,8,2
3,364,17,21.41176470588235,0.5989010989010989,12.373225597931484,8,2
3,320,14,22.857142857142858,0.6,11.554920634920638,8,2
2,207,15,13.8,0.6280193236714976,7.634512077294691,8,2
3,300,19,15.789473684210526,0.54,6.025894736842108,8,2
1,193,11,17.545454545454547,0.6580310880829016,9.227856806406031,8,2
1,211,16,13.1875,0.4928909952606635,5.715210308056875,8,2
2,274,17,16.11764705882353,0.5948905109489051,7.1039115500214685,8,2
6,777,36,21.583333333333332,0.46589446589446587,12.023680823680824,8,2
3,479,14,34.214285714285715,0.5636743215031316,16.42664032209962,8,2
3,352,19,18.526315789473685,0.5142045454545454,8.396626794258374,8,2
5,724,32,22.625,0.45027624309392267,11.308611878453043,8,2
5,473,17,27.823529411764707,0.48625792811839325,15.568153214774284,8,2
2,230,6,38.333333333333336,0.5043478260869565,18.291304347826088,8,2
3,541,15,36.06666666666667,0.4066543438077634,14.28930868761553,8,2
3,577,25,23.08,0.42807625649913345,10.18069740034662,8,2
2,269,13,20.692307692307693,0.6059479553903345,11.649516728624537,8,2
1,247,8,30.875,0.6437246963562753,15.349654471544717,8,2
3,292,13,22.46153846153846,0.5102739726027398,9.900136986301373,8,2
5,545,19,28.68421052631579,0.4917431192660551,13.470945378151264,8,2
